DefectID,QCID,OrderID,Quantity,ProductID,ProductName,DefectType,DefectQuantity,CauseDescription,Status,Defectrate,etc
77,1735,1735,80,1735,갈릭꽈베기,기타 불량,6,작업 환경 불량,완료,7,긴급 작업 요청
78,465,465,50,465,찹쌀브레드,색상 불량,10,원료 문제,완료,20,특별 공정 필요
79,625,625,80,625,찹쌀브레드,기타 불량,19,작업 환경 불량,완료,23,특별 공정 필요
80,843,843,70,843,단팥도넛,표면 오염,20,기계 오작동,완료,28,일반 작업 요청
81,1289,1289,40,1289,찹쌀브레드,크기 불일치,14,보관 문제,완료,35,특별 공정 필요
82,465,465,50,465,찹쌀브레드,형태 불량,15,보관 문제,완료,30,특별 공정 필요
83,231,231,90,231,단팥도넛,형태 불량,9,보관 문제,완료,10,일반 작업 요청
84,1292,1292,90,1292,카라멜 러스크,형태 불량,8,기계 오작동,완료,8,정시 납기 요구
85,625,625,80,625,찹쌀브레드,색상 불량,18,기계 오작동,완료,22,특별 공정 필요
86,1289,1289,40,1289,찹쌀브레드,색상 불량,19,보관 문제,완료,47,특별 공정 필요
87,843,843,70,843,단팥도넛,표면 오염,19,원료 문제,완료,27,일반 작업 요청
88,643,643,90,643,꽈베기,형태 불량,8,원료 문제,완료,8,정시 납기 요구
89,2175,2175,60,2175,베이글빵,형태 불량,17,원료 문제,완료,28,일반 작업 요청
90,231,231,90,231,단팥도넛,색상 불량,11,원료 문제,완료,12,일반 작업 요청
91,1719,1719,80,1719,꿀버터바게트,표면 오염,1,원료 문제,완료,1,정시 납기 요구
92,465,465,50,465,찹쌀브레드,크기 불일치,3,작업 환경 불량,완료,6,특별 공정 필요
93,643,643,90,643,꽈베기,색상 불량,2,성형 문제,완료,2,정시 납기 요구
94,1292,1292,90,1292,카라멜 러스크,기타 불량,10,원료 문제,완료,11,정시 납기 요구
95,643,643,90,643,꽈베기,크기 불일치,5,원료 문제,완료,5,정시 납기 요구
96,1292,1292,90,1292,카라멜 러스크,형태 불량,15,성형 문제,완료,16,정시 납기 요구
97,1289,1289,40,1289,찹쌀브레드,형태 불량,8,작업 환경 불량,완료,20,특별 공정 필요
98,1289,1289,40,1289,찹쌀브레드,표면 오염,20,원료 문제,완료,50,특별 공정 필요
99,231,231,90,231,단팥도넛,형태 불량,6,작업 환경 불량,완료,6,일반 작업 요청
100,465,465,50,465,찹쌀브레드,기타 불량,19,기계 오작동,완료,38,특별 공정 필요
101,1719,1719,80,1719,꿀버터바게트,표면 오염,3,성형 문제,완료,3,정시 납기 요구
102,698,698,40,698,단팥도넛,색상 불량,4,원료 문제,완료,10,일반 작업 요청
103,1735,1735,80,1735,갈릭꽈베기,표면 오염,16,원료 문제,완료,20,긴급 작업 요청
104,142,142,40,142,꽈베기,표면 오염,13,성형 문제,완료,32,정시 납기 요구
105,465,465,50,465,찹쌀브레드,형태 불량,16,원료 문제,완료,32,특별 공정 필요
106,643,643,90,643,꽈베기,기타 불량,11,원료 문제,완료,12,정시 납기 요구
107,1289,1289,40,1289,찹쌀브레드,색상 불량,13,보관 문제,완료,32,특별 공정 필요
108,1735,1735,80,1735,갈릭꽈베기,크기 불일치,5,기계 오작동,완료,6,긴급 작업 요청
109,142,142,40,142,꽈베기,기타 불량,11,성형 문제,완료,27,정시 납기 요구
110,1417,1417,70,1417,생크림소보로,형태 불량,16,보관 문제,완료,22,특별 공정 필요
111,625,625,80,625,찹쌀브레드,크기 불일치,3,원료 문제,완료,3,특별 공정 필요
112,142,142,40,142,꽈베기,표면 오염,5,기계 오작동,완료,12,정시 납기 요구
113,1719,1719,80,1719,꿀버터바게트,색상 불량,15,원료 문제,완료,18,정시 납기 요구
114,2175,2175,60,2175,베이글빵,색상 불량,8,원료 문제,완료,13,일반 작업 요청
115,567,567,70,567,꽈베기,색상 불량,19,보관 문제,완료,27,정시 납기 요구
116,643,643,90,643,꽈베기,형태 불량,3,기계 오작동,완료,3,정시 납기 요구
117,231,231,90,231,단팥도넛,기타 불량,17,기계 오작동,완료,18,일반 작업 요청
118,2175,2175,60,2175,베이글빵,기타 불량,19,기계 오작동,완료,31,일반 작업 요청
119,643,643,90,643,꽈베기,색상 불량,15,보관 문제,완료,16,정시 납기 요구
120,1719,1719,80,1719,꿀버터바게트,형태 불량,13,원료 문제,완료,16,정시 납기 요구
121,1289,1289,40,1289,찹쌀브레드,색상 불량,6,기계 오작동,완료,15,특별 공정 필요
122,1417,1417,70,1417,생크림소보로,크기 불일치,11,기계 오작동,완료,15,특별 공정 필요
123,1369,1369,80,1369,꽈베기,기타 불량,8,성형 문제,완료,10,정시 납기 요구
124,1417,1417,70,1417,생크림소보로,크기 불일치,18,원료 문제,완료,25,특별 공정 필요
125,2175,2175,60,2175,베이글빵,표면 오염,20,기계 오작동,완료,33,일반 작업 요청
126,2175,2175,60,2175,베이글빵,표면 오염,18,기계 오작동,완료,30,일반 작업 요청
127,1719,1719,80,1719,꿀버터바게트,형태 불량,16,원료 문제,완료,20,정시 납기 요구
128,1719,1719,80,1719,꿀버터바게트,기타 불량,3,작업 환경 불량,완료,3,정시 납기 요구
129,1719,1719,80,1719,꿀버터바게트,색상 불량,10,작업 환경 불량,완료,12,정시 납기 요구
130,1735,1735,80,1735,갈릭꽈베기,크기 불일치,12,보관 문제,완료,15,긴급 작업 요청
131,1719,1719,80,1719,꿀버터바게트,표면 오염,18,성형 문제,완료,22,정시 납기 요구
132,1289,1289,40,1289,찹쌀브레드,기타 불량,20,작업 환경 불량,완료,50,특별 공정 필요
133,2175,2175,60,2175,베이글빵,표면 오염,3,원료 문제,완료,5,일반 작업 요청
134,643,643,90,643,꽈베기,크기 불일치,19,보관 문제,완료,21,정시 납기 요구
135,843,843,70,843,단팥도넛,표면 오염,11,보관 문제,완료,15,일반 작업 요청
