QCID,OrderID,Quantity,ProductID,ProductName,TestResult,TestDate,etc
109,109,40,109,생크림소보로,합격,2024-01-18 13:40:00,특별 공정 필요
110,110,80,110,카라멜 러스크,합격,2024-01-18 13:40:00,정시 납기 요구
111,111,70,111,베이글빵,합격,2024-01-18 13:40:00,일반 작업 요청
112,112,70,112,애플파이,합격,2024-01-18 13:40:00,긴급 작업 요청
113,113,40,113,라우겐,합격,2024-01-17 13:40:00,긴급 작업 요청
114,114,60,114,꿀버터바게트,합격,2024-01-17 13:40:00,정시 납기 요구
115,115,40,115,고구마케이크빵,합격,2024-01-17 13:40:00,특별 공정 필요
116,116,60,116,생크림소보로,합격,2024-01-18 22:40:00,특별 공정 필요
117,117,70,117,카라멜 러스크,합격,2024-01-17 22:40:00,정시 납기 요구
118,118,40,118,베이글빵,합격,2024-01-16 22:40:00,일반 작업 요청
119,119,70,119,애플파이,합격,2024-01-18 22:40:00,긴급 작업 요청
120,120,70,120,라우겐,합격,2024-01-18 22:40:00,긴급 작업 요청
121,121,90,121,꿀버터바게트,합격,2024-01-16 22:40:00,정시 납기 요구
122,122,80,122,고구마케이크빵,합격,2024-01-17 22:40:00,특별 공정 필요
123,123,40,123,찹쌀브레드,합격,2024-01-19 22:40:00,특별 공정 필요
124,124,50,124,단팥도넛,합격,2024-01-17 22:40:00,일반 작업 요청
125,125,60,125,고구마케이크빵,합격,2024-01-18 22:40:00,특별 공정 필요
126,126,40,126,꽈베기,합격,2024-01-18 22:40:00,정시 납기 요구
127,127,80,127,라우겐,합격,2024-01-18 22:40:00,긴급 작업 요청
128,128,70,128,갈릭꽈베기,합격,2024-01-19 22:40:00,긴급 작업 요청
129,129,50,129,생크림소보로,합격,2024-01-17 22:40:00,특별 공정 필요
130,130,60,130,카라멜 러스크,합격,2024-01-18 22:40:00,정시 납기 요구
131,131,80,131,고구마케이크빵,합격,2024-01-18 13:40:00,특별 공정 필요
132,132,40,132,생크림소보로,합격,2024-01-19 13:40:00,특별 공정 필요
133,133,70,133,베이글빵,합격,2024-01-20 13:40:00,일반 작업 요청
134,134,60,134,우유도넛,합격,2024-01-19 13:40:00,일반 작업 요청
135,135,80,135,꽈베기,합격,2024-01-18 13:40:00,정시 납기 요구
136,136,40,136,단팥도넛,합격,2024-01-20 13:40:00,일반 작업 요청
137,137,80,137,라우겐,합격,2024-01-18 13:40:00,긴급 작업 요청
138,138,50,138,고구마케이크빵,합격,2024-01-20 22:40:00,특별 공정 필요
139,139,50,139,생크림소보로,합격,2024-01-19 22:40:00,특별 공정 필요
140,140,50,140,베이글빵,합격,2024-01-18 22:40:00,일반 작업 요청
141,141,90,141,우유도넛,합격,2024-01-20 22:40:00,일반 작업 요청
142,142,40,142,꽈베기,불합격,2024-01-20 22:40:00,정시 납기 요구
143,143,60,143,단팥도넛,합격,2024-01-19 22:40:00,일반 작업 요청
144,144,70,144,라우겐,합격,2024-01-18 22:40:00,긴급 작업 요청
145,145,60,145,베이글빵,합격,2024-01-20 22:40:00,일반 작업 요청
146,146,70,146,고구마케이크빵,합격,2024-01-19 22:40:00,특별 공정 필요
147,147,90,147,꿀버터바게트,합격,2024-01-20 22:40:00,정시 납기 요구
148,148,90,148,애플파이,합격,2024-01-21 22:40:00,긴급 작업 요청
149,149,70,149,꽈베기,합격,2024-01-21 22:40:00,정시 납기 요구
150,150,40,150,생크림소보로,합격,2024-01-20 22:40:00,특별 공정 필요
151,151,80,151,우유도넛,합격,2024-01-21 22:40:00,일반 작업 요청
152,152,40,152,생크림소보로,합격,2024-01-20 13:40:00,특별 공정 필요
153,153,90,153,단팥도넛,합격,2024-01-20 13:40:00,일반 작업 요청
154,154,60,154,꿀버터바게트,합격,2024-01-22 13:40:00,정시 납기 요구
155,155,80,155,애플파이,합격,2024-01-21 13:40:00,긴급 작업 요청
156,156,90,156,찹쌀브레드,합격,2024-01-22 13:40:00,특별 공정 필요
157,157,70,157,우유도넛,합격,2024-01-20 13:40:00,일반 작업 요청
158,158,50,158,애플파이,합격,2024-01-23 13:40:00,긴급 작업 요청
159,159,60,159,고구마케이크빵,합격,2024-01-21 13:40:00,특별 공정 필요
160,160,60,160,카라멜 러스크,합격,2024-01-21 13:40:00,정시 납기 요구
161,161,40,161,애플파이,합격,2024-01-21 22:40:00,긴급 작업 요청
162,162,90,162,고구마케이크빵,합격,2024-01-22 22:40:00,특별 공정 필요
163,163,40,163,카라멜 러스크,합격,2024-01-22 22:40:00,정시 납기 요구
164,164,40,164,꿀버터바게트,합격,2024-01-23 22:40:00,정시 납기 요구
165,165,90,165,애플파이,합격,2024-01-22 22:40:00,긴급 작업 요청
166,166,80,166,꽈베기,합격,2024-01-23 22:40:00,정시 납기 요구
167,167,40,167,단팥도넛,합격,2024-01-24 22:40:00,일반 작업 요청
168,168,50,168,단팥도넛,합격,2024-01-23 22:40:00,일반 작업 요청
169,169,50,169,라우겐,합격,2024-01-23 22:40:00,긴급 작업 요청
170,170,80,170,꽈베기,합격,2024-01-24 22:40:00,정시 납기 요구
171,171,70,171,베이글빵,합격,2024-01-24 22:40:00,일반 작업 요청
172,172,80,172,애플파이,합격,2024-01-24 22:40:00,긴급 작업 요청
173,173,60,173,우유도넛,합격,2024-01-24 22:40:00,일반 작업 요청
174,174,40,174,라우겐,합격,2024-01-25 13:40:00,긴급 작업 요청
175,175,80,175,애플파이,합격,2024-01-25 13:40:00,긴급 작업 요청
176,176,50,176,고구마케이크빵,합격,2024-01-25 13:40:00,특별 공정 필요
177,177,80,177,찹쌀브레드,합격,2024-01-27 22:40:00,특별 공정 필요
178,178,60,178,고구마케이크빵,합격,2024-01-26 22:40:00,특별 공정 필요
179,179,60,179,우유도넛,합격,2024-01-26 22:40:00,일반 작업 요청
180,180,90,180,카라멜 러스크,합격,2024-01-26 22:40:00,정시 납기 요구
181,181,60,181,생크림소보로,합격,2024-01-27 13:40:00,특별 공정 필요
182,182,50,182,라우겐,합격,2024-01-27 13:40:00,긴급 작업 요청
183,183,80,183,꽈베기,합격,2024-01-28 13:40:00,정시 납기 요구
184,184,90,184,애플파이,합격,2024-01-26 13:40:00,긴급 작업 요청
185,185,50,185,우유도넛,합격,2024-01-26 13:40:00,일반 작업 요청
186,186,40,186,생크림소보로,합격,2024-01-26 22:40:00,특별 공정 필요
187,187,60,187,라우겐,합격,2024-01-27 22:40:00,긴급 작업 요청
188,188,90,188,꽈베기,합격,2024-01-28 22:40:00,정시 납기 요구
189,189,70,189,애플파이,합격,2024-01-26 22:40:00,긴급 작업 요청
190,190,60,190,우유도넛,합격,2024-01-27 22:40:00,일반 작업 요청
191,191,70,191,카라멜 러스크,합격,2024-01-27 13:40:00,정시 납기 요구
192,192,70,192,갈릭꽈베기,합격,2024-01-28 13:40:00,긴급 작업 요청
193,193,90,193,단팥도넛,합격,2024-01-28 13:40:00,일반 작업 요청
194,194,70,194,고구마케이크빵,합격,2024-01-27 13:40:00,특별 공정 필요
195,195,80,195,애플파이,합격,2024-01-28 13:40:00,긴급 작업 요청
196,196,60,196,꿀버터바게트,합격,2024-01-29 13:40:00,정시 납기 요구
197,197,60,197,우유도넛,합격,2024-01-29 13:40:00,일반 작업 요청
198,198,80,198,생크림소보로,합격,2024-01-29 13:40:00,특별 공정 필요
199,199,70,199,찹쌀브레드,합격,2024-01-29 13:40:00,특별 공정 필요
200,200,80,200,꽈베기,합격,2024-01-30 13:40:00,정시 납기 요구
201,201,40,201,갈릭꽈베기,합격,2024-01-29 13:40:00,긴급 작업 요청
202,202,60,202,애플파이,합격,2024-01-28 13:40:00,긴급 작업 요청
203,203,70,203,갈릭꽈베기,합격,2024-01-29 13:40:00,긴급 작업 요청
204,204,60,204,라우겐,합격,2024-01-31 13:40:00,긴급 작업 요청
205,205,90,205,베이글빵,합격,2024-01-30 13:40:00,일반 작업 요청
206,206,90,206,라우겐,합격,2024-01-31 13:40:00,긴급 작업 요청
207,207,80,207,생크림소보로,합격,2024-02-01 13:40:00,특별 공정 필요
208,208,90,208,카라멜 러스크,합격,2024-02-01 13:40:00,정시 납기 요구
209,209,50,209,꿀버터바게트,합격,2024-02-01 13:40:00,정시 납기 요구
210,210,70,210,갈릭꽈베기,합격,2024-01-30 13:40:00,긴급 작업 요청
211,211,40,211,고구마케이크빵,합격,2024-02-01 22:40:00,특별 공정 필요
212,212,50,212,단팥도넛,합격,2024-02-02 22:40:00,일반 작업 요청
213,213,40,213,생크림소보로,합격,2024-02-02 22:40:00,특별 공정 필요
214,214,80,214,단팥도넛,합격,2024-02-01 13:40:00,일반 작업 요청
215,215,90,215,우유도넛,합격,2024-02-03 13:40:00,일반 작업 요청
216,216,40,216,라우겐,합격,2024-02-01 13:40:00,긴급 작업 요청
217,217,70,217,베이글빵,합격,2024-02-01 13:40:00,일반 작업 요청
218,218,50,218,고구마케이크빵,합격,2024-02-02 13:40:00,특별 공정 필요
219,219,70,219,갈릭꽈베기,합격,2024-02-02 13:40:00,긴급 작업 요청
220,220,90,220,꿀버터바게트,합격,2024-02-02 13:40:00,정시 납기 요구
221,221,80,221,꽈베기,합격,2024-02-03 13:40:00,정시 납기 요구
222,222,90,222,고구마케이크빵,합격,2024-02-04 22:40:00,특별 공정 필요
223,223,90,223,생크림소보로,합격,2024-02-04 22:40:00,특별 공정 필요
224,224,40,224,찹쌀브레드,합격,2024-02-04 22:40:00,특별 공정 필요
225,225,60,225,카라멜 러스크,합격,2024-02-04 22:40:00,정시 납기 요구
226,226,80,226,갈릭꽈베기,합격,2024-02-03 22:40:00,긴급 작업 요청
227,227,40,227,꽈베기,합격,2024-02-02 22:40:00,정시 납기 요구
228,228,90,228,단팥도넛,합격,2024-02-03 22:40:00,일반 작업 요청
229,229,80,229,우유도넛,합격,2024-02-03 22:40:00,일반 작업 요청
230,230,70,230,찹쌀브레드,합격,2024-02-04 22:40:00,특별 공정 필요
231,231,90,231,단팥도넛,불합격,2024-02-03 22:40:00,일반 작업 요청
232,232,50,232,꽈베기,합격,2024-02-03 22:40:00,정시 납기 요구
233,233,60,233,우유도넛,합격,2024-02-04 22:40:00,일반 작업 요청
234,234,50,234,꿀버터바게트,합격,2024-02-06 22:40:00,정시 납기 요구
235,235,60,235,애플파이,합격,2024-02-06 22:40:00,긴급 작업 요청
236,236,90,236,찹쌀브레드,합격,2024-02-05 22:40:00,특별 공정 필요
237,237,80,237,꽈베기,합격,2024-02-05 22:40:00,정시 납기 요구
238,238,40,238,생크림소보로,합격,2024-02-06 22:40:00,특별 공정 필요
239,239,50,239,우유도넛,합격,2024-02-06 22:40:00,일반 작업 요청
240,240,60,240,베이글빵,합격,2024-02-06 22:40:00,일반 작업 요청
241,241,80,241,라우겐,합격,2024-02-06 13:40:00,긴급 작업 요청
242,242,50,242,애플파이,합격,2024-02-07 13:40:00,긴급 작업 요청
243,243,50,243,우유도넛,합격,2024-02-06 13:40:00,일반 작업 요청
244,244,80,244,단팥도넛,합격,2024-02-06 13:40:00,일반 작업 요청
245,245,90,245,라우겐,합격,2024-02-07 22:40:00,긴급 작업 요청
246,246,60,246,애플파이,합격,2024-02-06 22:40:00,긴급 작업 요청
247,247,90,247,우유도넛,합격,2024-02-05 22:40:00,일반 작업 요청
248,248,50,248,단팥도넛,합격,2024-02-07 22:40:00,일반 작업 요청
249,249,90,249,꽈베기,합격,2024-02-07 22:40:00,정시 납기 요구
250,250,60,250,고구마케이크빵,합격,2024-02-06 22:40:00,특별 공정 필요
251,251,60,251,찹쌀브레드,합격,2024-02-06 22:40:00,특별 공정 필요
252,252,90,252,라우겐,합격,2024-02-07 22:40:00,긴급 작업 요청
253,253,90,253,꿀버터바게트,합격,2024-02-06 22:40:00,정시 납기 요구
254,254,80,254,단팥도넛,합격,2024-02-07 22:40:00,일반 작업 요청
255,255,90,255,꿀버터바게트,합격,2024-02-09 13:40:00,정시 납기 요구
256,256,70,256,베이글빵,합격,2024-02-07 13:40:00,일반 작업 요청
257,257,60,257,생크림소보로,합격,2024-02-08 13:40:00,특별 공정 필요
258,258,50,258,꽈베기,합격,2024-02-08 13:40:00,정시 납기 요구
259,259,40,259,카라멜 러스크,합격,2024-02-07 13:40:00,정시 납기 요구
260,260,80,260,단팥도넛,합격,2024-02-09 13:40:00,일반 작업 요청
261,261,90,261,애플파이,합격,2024-02-09 13:40:00,긴급 작업 요청
262,262,40,262,라우겐,합격,2024-02-08 13:40:00,긴급 작업 요청
263,263,70,263,갈릭꽈베기,합격,2024-02-08 13:40:00,긴급 작업 요청
264,264,60,264,베이글빵,합격,2024-02-10 13:40:00,일반 작업 요청
265,265,50,265,라우겐,합격,2024-02-09 13:40:00,긴급 작업 요청
266,266,50,266,우유도넛,합격,2024-02-09 13:40:00,일반 작업 요청
267,267,70,267,라우겐,합격,2024-02-11 13:40:00,긴급 작업 요청
268,268,80,268,찹쌀브레드,합격,2024-02-09 13:40:00,특별 공정 필요
269,269,40,269,단팥도넛,합격,2024-02-10 13:40:00,일반 작업 요청
270,270,90,270,카라멜 러스크,합격,2024-02-10 13:40:00,정시 납기 요구
271,271,50,271,꽈베기,합격,2024-02-09 13:40:00,정시 납기 요구
272,272,70,272,애플파이,합격,2024-02-10 13:40:00,긴급 작업 요청
273,273,80,273,라우겐,합격,2024-02-12 13:40:00,긴급 작업 요청
274,274,90,274,갈릭꽈베기,합격,2024-02-12 13:40:00,긴급 작업 요청
275,275,80,275,찹쌀브레드,합격,2024-02-10 13:40:00,특별 공정 필요
276,276,90,276,우유도넛,합격,2024-02-10 13:40:00,일반 작업 요청
277,277,60,277,단팥도넛,합격,2024-02-12 13:40:00,일반 작업 요청
278,278,80,278,고구마케이크빵,합격,2024-02-12 13:40:00,특별 공정 필요
279,279,70,279,우유도넛,합격,2024-02-12 13:40:00,일반 작업 요청
280,280,40,280,생크림소보로,합격,2024-02-13 13:40:00,특별 공정 필요
281,281,50,281,라우겐,합격,2024-02-13 13:40:00,긴급 작업 요청
282,282,90,282,고구마케이크빵,합격,2024-02-13 22:40:00,특별 공정 필요
283,283,70,283,우유도넛,합격,2024-02-13 22:40:00,일반 작업 요청
284,284,50,284,생크림소보로,합격,2024-02-11 22:40:00,특별 공정 필요
285,285,90,285,라우겐,합격,2024-02-11 22:40:00,긴급 작업 요청
286,286,50,286,생크림소보로,합격,2024-02-13 13:40:00,특별 공정 필요
287,287,60,287,꿀버터바게트,합격,2024-02-13 13:40:00,정시 납기 요구
288,288,50,288,애플파이,합격,2024-02-13 13:40:00,긴급 작업 요청
289,289,50,289,우유도넛,합격,2024-02-14 13:40:00,일반 작업 요청
290,290,70,290,베이글빵,합격,2024-02-13 13:40:00,일반 작업 요청
291,291,60,291,카라멜 러스크,합격,2024-02-14 13:40:00,정시 납기 요구
292,292,90,292,생크림소보로,합격,2024-02-13 22:40:00,특별 공정 필요
293,293,60,293,꿀버터바게트,합격,2024-02-12 22:40:00,정시 납기 요구
294,294,90,294,애플파이,합격,2024-02-12 22:40:00,긴급 작업 요청
295,295,40,295,우유도넛,합격,2024-02-14 22:40:00,일반 작업 요청
296,296,80,296,베이글빵,합격,2024-02-13 22:40:00,일반 작업 요청
297,297,60,297,카라멜 러스크,합격,2024-02-14 22:40:00,정시 납기 요구
298,298,90,298,애플파이,합격,2024-02-15 22:40:00,긴급 작업 요청
299,299,90,299,우유도넛,합격,2024-02-15 22:40:00,일반 작업 요청
300,300,40,300,라우겐,합격,2024-02-13 22:40:00,긴급 작업 요청
301,301,50,301,베이글빵,합격,2024-02-15 22:40:00,일반 작업 요청
302,302,40,302,꿀버터바게트,합격,2024-02-15 22:40:00,정시 납기 요구
303,303,90,303,고구마케이크빵,합격,2024-02-15 22:40:00,특별 공정 필요
304,304,60,304,카라멜 러스크,합격,2024-02-14 22:40:00,정시 납기 요구
305,305,60,305,고구마케이크빵,합격,2024-02-16 22:40:00,특별 공정 필요
306,306,70,306,단팥도넛,합격,2024-02-15 22:40:00,일반 작업 요청
307,307,40,307,찹쌀브레드,합격,2024-02-16 13:40:00,특별 공정 필요
308,308,70,308,애플파이,합격,2024-02-16 13:40:00,긴급 작업 요청
309,309,90,309,카라멜 러스크,합격,2024-02-15 13:40:00,정시 납기 요구
310,310,60,310,꿀버터바게트,합격,2024-02-16 13:40:00,정시 납기 요구
311,311,50,311,꽈베기,합격,2024-02-16 22:40:00,정시 납기 요구
312,312,90,312,꿀버터바게트,합격,2024-02-18 22:40:00,정시 납기 요구
313,313,90,313,단팥도넛,합격,2024-02-16 22:40:00,일반 작업 요청
314,314,90,314,갈릭꽈베기,합격,2024-02-16 22:40:00,긴급 작업 요청
315,315,40,315,라우겐,합격,2024-02-17 22:40:00,긴급 작업 요청
316,316,80,316,고구마케이크빵,합격,2024-02-18 22:40:00,특별 공정 필요
317,317,60,317,베이글빵,합격,2024-02-17 22:40:00,일반 작업 요청
318,318,90,318,카라멜 러스크,합격,2024-02-17 13:40:00,정시 납기 요구
319,319,90,319,애플파이,합격,2024-02-19 13:40:00,긴급 작업 요청
320,320,50,320,꽈베기,합격,2024-02-17 13:40:00,정시 납기 요구
321,321,60,321,갈릭꽈베기,합격,2024-02-19 13:40:00,긴급 작업 요청
322,322,70,322,라우겐,합격,2024-02-18 13:40:00,긴급 작업 요청
323,323,70,323,카라멜 러스크,합격,2024-02-17 22:40:00,정시 납기 요구
324,324,40,324,애플파이,합격,2024-02-17 22:40:00,긴급 작업 요청
325,325,90,325,꽈베기,합격,2024-02-19 22:40:00,정시 납기 요구
326,326,50,326,갈릭꽈베기,합격,2024-02-18 22:40:00,긴급 작업 요청
327,327,40,327,라우겐,합격,2024-02-19 22:40:00,긴급 작업 요청
328,328,90,328,카라멜 러스크,합격,2024-02-20 13:40:00,정시 납기 요구
329,329,80,329,우유도넛,합격,2024-02-18 13:40:00,일반 작업 요청
330,330,60,330,생크림소보로,합격,2024-02-20 13:40:00,특별 공정 필요
331,331,50,331,카라멜 러스크,합격,2024-02-20 22:40:00,정시 납기 요구
332,332,80,332,우유도넛,합격,2024-02-18 22:40:00,일반 작업 요청
333,333,60,333,생크림소보로,합격,2024-02-18 22:40:00,특별 공정 필요
334,334,50,334,꽈베기,합격,2024-02-21 22:40:00,정시 납기 요구
335,335,50,335,단팥도넛,합격,2024-02-21 22:40:00,일반 작업 요청
336,336,60,336,라우겐,합격,2024-02-19 22:40:00,긴급 작업 요청
337,337,80,337,꽈베기,합격,2024-02-21 13:40:00,정시 납기 요구
338,338,60,338,갈릭꽈베기,합격,2024-02-21 13:40:00,긴급 작업 요청
339,339,60,339,카라멜 러스크,합격,2024-02-22 13:40:00,정시 납기 요구
340,340,40,340,베이글빵,합격,2024-02-21 13:40:00,일반 작업 요청
341,341,50,341,라우겐,합격,2024-02-22 13:40:00,긴급 작업 요청
342,342,90,342,단팥도넛,합격,2024-02-22 13:40:00,일반 작업 요청
343,343,60,343,고구마케이크빵,합격,2024-02-21 13:40:00,특별 공정 필요
344,344,60,344,꽈베기,합격,2024-02-20 22:40:00,정시 납기 요구
